entity_id,pleiades_id,status,local_longitude,local_latitude,pleiades_longitude,pleiades_latitude,distance_m,geometry_role,local_location_certainty,pleiades_title,pleiades_modified,retrieved_on,decision
sanctuary-nemea-zeus-sanctuary,570504,matched,22.71067954,37.80905853,22.710679536483795,37.80905853069708,0.00,site,high,Nemea,2024-06-05T18:52:36Z,2026-08-15,retain_local_and_report_distance
sanctuary-isthmia-poseidon-sanctuary,570316,matched,22.9931345,37.9158035,22.9931345,37.9158035,0.00,site,high,Isthmia,2026-07-06T17:22:39Z,2026-08-15,retain_local_and_report_distance
sanctuary-crete-idaion-antron,589817,matched,24.8289925,35.2082103,24.8289925,35.2082103,0.00,site,high,Idaion Antron,2021-06-23T16:22:27Z,2026-08-15,retain_local_and_report_distance
sanctuary-crete-iuktas-peak-sanctuary,559217802,matched,25.11438939,35.29160551,25.114389393619206,35.29160551219514,0.00,site,high,Iuktas,2025-11-12T12:49:31Z,2026-08-15,retain_local_and_report_distance
sanctuary-gyroulas-demeter-sanctuary,599631,matched,25.43123428,37.02911178,25.431234275,37.029111775,0.00,site,high,Gyroulas,2020-07-16T16:02:46Z,2026-08-15,retain_local_and_report_distance
sanctuary-tinos-poseidon-amphitrite-sanctuary,590006,matched,25.14288517,37.55168814,25.14288516604842,37.55168814441538,0.00,site,high,Temple of Poseidon and Amphitrite on Tenos,2025-10-14T22:37:27Z,2026-08-15,retain_local_and_report_distance
sanctuary-delos-apollo-sanctuary,599506,matched,25.268868,37.3993075,25.268867999999998,37.3993075,0.00,site,high,Sanctuary of Apollo on Delos,2024-11-13T16:41:45Z,2026-08-15,retain_local_and_report_distance
sanctuary-despotiko-apollo-sanctuary,854812387,matched,25.01547138,36.97026271,25.01547137649937,36.97026270538114,0.00,site,high,Mandra (Despotiko),2023-11-30T22:55:16Z,2026-08-15,retain_local_and_report_distance
sanctuary-hyria-dionysos-sanctuary,599661,matched,25.38067653,37.07762788,25.380676528974732,37.0776278769985,0.00,site,high,Hyria (Naxos),2025-02-03T22:21:07Z,2026-08-15,retain_local_and_report_distance
sanctuary-golgoi-aphrodite-sanctuary,707470,matched,33.620066,35.087379,33.620066,35.087379,0.00,site,medium,Aphrodite Golgia,2025-08-20T01:11:21Z,2026-08-15,retain_local_and_report_distance
sanctuary-palaepaphos-aphrodite-sanctuary,828989863,matched,32.5736088,34.7068294,32.5736088,34.7068294,0.00,site,high,Sanctuary of Aphrodite Paphia,2024-04-06T19:26:08Z,2026-08-15,retain_local_and_report_distance
sanctuary-kourion-apollo-hylates-sanctuary,707476,matched,32.8636043,34.67270936,32.86360429721392,34.67270936350735,0.00,site,high,"Apollo Hylates, T.",2023-02-19T03:34:46Z,2026-08-15,retain_local_and_report_distance
sanctuary-cyrene-apollo-sanctuary,464482220,matched,21.85251663,32.82351143,21.85251663440144,32.8235114309894,0.00,site,high,Sanctuary of Apollo at Cyrene,2019-02-02T02:58:52Z,2026-08-15,retain_local_and_report_distance
sanctuary-cyrene-zeus-sanctuary,103565779,matched,21.86244367,32.82234007,21.862443667900745,32.82234007327918,0.00,site,high,Temple of Zeus at Cyrene,2025-02-08T02:54:05Z,2026-08-15,retain_local_and_report_distance
sanctuary-amyklaion-apollo-sanctuary,73644851,matched,22.45026506,37.03631128,22.450265058319555,37.03631128303086,0.00,site,high,Sanctuary of Apollo,2023-09-25T17:51:41Z,2026-08-15,retain_local_and_report_distance
sanctuary-menelaion-sparta,570477,matched,22.4534818,37.0657435,22.4534818,37.0657435,0.00,site,high,Menelaion,2024-03-23T15:18:48Z,2026-08-15,retain_local_and_report_distance
sanctuary-foce-del-sele-heraion,442610,matched,14.97002056,40.48838686,14.970020562551403,40.48838685920082,0.00,site,high,Temple of Hera at Foce del Sele,2026-03-08T17:41:06Z,2026-08-15,retain_local_and_report_distance
sanctuary-metapontum-tavole-palatine-heraion,442611,matched,16.81677139,40.41607388,16.816771386529926,40.416073878766184,0.00,site,high,Hera temple,2025-07-11T11:53:04Z,2026-08-15,retain_local_and_report_distance
sanctuary-siwa-amun-zeus-oracle,716520,matched,25.54350736,29.2051738,25.5435073558627,29.205173796098382,0.00,site,high,Ammon,2025-03-03T02:47:45Z,2026-08-15,retain_local_and_report_distance
sanctuary-sardis-artemis-sanctuary,66376536,matched,28.03117478,38.47976506,28.03117478470277,38.479765061426654,0.00,site,high,Temple of Artemis at Sardis,2026-04-07T03:27:05Z,2026-08-15,retain_local_and_report_distance
sanctuary-letoon-lycian-sanctuary,638958,matched,29.28956479,36.33171047,29.289564791223324,36.33171046743071,0.00,site,high,Letoon,2024-03-10T14:25:23Z,2026-08-15,retain_local_and_report_distance
sanctuary-pergamon-asklepieion,550459,matched,27.16563039,39.11886849,27.1656303931536,39.11886849118463,0.00,site,high,Asklepieion,2025-10-31T14:25:04Z,2026-08-15,retain_local_and_report_distance
sanctuary-oropos-amphiareion,540628,matched,23.84564,38.29100503,23.845639996035622,38.29100502569067,0.00,site,high,Amphiareion,2025-10-24T02:32:52Z,2026-08-15,retain_local_and_report_distance
sanctuary-lindos-athena-sanctuary,414067217,matched,28.08844826,36.09101074,28.0884482619594,36.09101073954695,0.00,site,high,Temple of Athena Lindia,2026-03-09T20:03:45Z,2026-08-15,retain_local_and_report_distance
sanctuary-rhodes-zeus-atabyrios-sanctuary,590099,matched,27.86460035,36.2068373,27.86460035,36.2068373,0.00,site,high,Zeus Atabyrios (temple),2024-12-03T15:31:47Z,2026-08-15,retain_local_and_report_distance
sanctuary-segesta-doric-temple-sanctuary,963441586,matched,12.832405,37.94147,12.832405,37.94147,0.00,site,medium,Doric temple of Segesta,2024-02-27T22:31:05Z,2026-08-15,retain_local_and_report_distance
sanctuary-selinous-demeter-malophoros-sanctuary,502577471,matched,12.81694173,37.58686508,12.816941730400163,37.58686507723378,0.00,site,high,"Temple of Demeter at the Sanctuary of Demeter Malophoros, Selinus",2026-08-08T18:17:49Z,2026-08-15,retain_local_and_report_distance
sanctuary-akragas-concordia-temple-sanctuary,943504072,matched,13.59207237,37.28965596,13.59207237479486,37.28965595669671,0.00,site,medium,"Temple of Concordia, Agrigento",2025-01-29T17:19:46Z,2026-08-15,retain_local_and_report_distance
sanctuary-syracuse-apollo-sanctuary,418729933,matched,15.29302272,37.06391256,15.29302272319641,37.063912564594546,0.00,site,high,Temple of Apollo at Syracuse,2020-10-25T04:26:23Z,2026-08-15,retain_local_and_report_distance
sanctuary-histria-sacred-zone,216839,matched,28.77513,44.54779,28.77512875,44.547787400000004,0.31,proxy,medium,Histria,2024-07-09T23:31:18Z,2026-08-15,retain_local_and_report_distance
sanctuary-smintheion-apollo-sanctuary,550892,matched,26.1177415,39.5362071,26.11774149528415,39.536207099825425,0.00,site,high,Smintheion,2026-04-07T03:24:14Z,2026-08-15,retain_local_and_report_distance
sanctuary-hierapolis-ploutonion,232079424,matched,29.1270484,37.926248,29.1270484,37.926248,0.00,site,high,Ploutonion at Hierapolis,2018-05-14T23:13:05Z,2026-08-15,retain_local_and_report_distance
sanctuary-kalapodi-artemis-apollo-sanctuary,955675680,matched,22.89541692,38.63651295,22.895416920890334,38.6365129474098,0.00,site,high,Temple of Artemis and Apollo,2026-06-30T19:04:51Z,2026-08-15,retain_local_and_report_distance
sanctuary-delphi-athena-pronaia-sanctuary,513711610,matched,22.5083745,38.48012669,22.508374504732384,38.48012668875978,0.00,site,high,Temple of Athena Pronaia,2026-05-19T14:49:33Z,2026-08-15,retain_local_and_report_distance
sanctuary-delphi-apollo-sanctuary,540726,matched,22.501169,38.482289,22.501169,38.482289,0.00,site,high,Delphi,2026-05-19T14:12:07Z,2026-08-15,retain_local_and_report_distance
