external_id,entity_id,place_id,scheme,identifier,uri,match_type,source_id
ext-pleiades-colony-sybaris,colony-sybaris,,pleiades,452457,https://pleiades.stoa.org/places/452457,exact,src-pleiades-452457
ext-pleiades-colony-syracuse,colony-syracuse,,pleiades,462503,https://pleiades.stoa.org/places/462503,exact,src-pleiades-462503
ext-pleiades-colony-tanais,colony-tanais,,pleiades,825397,https://pleiades.stoa.org/places/825397,exact,src-pleiades-825397
ext-pleiades-colony-taras,colony-taras,,pleiades,442810,https://pleiades.stoa.org/places/442810,exact,src-pleiades-442810
ext-pleiades-colony-taucheira,colony-taucheira,,pleiades,373736,https://pleiades.stoa.org/places/373736,exact,src-pleiades-373736
ext-pleiades-colony-teos,colony-teos,,pleiades,550913,https://pleiades.stoa.org/places/550913,exact,src-pleiades-550913
ext-pleiades-colony-theodosia-crimea,colony-theodosia-crimea,,pleiades,854743,https://pleiades.stoa.org/places/854743,exact,src-pleiades-854743
ext-pleiades-colony-tomis,colony-tomis,,pleiades,217016,https://pleiades.stoa.org/places/217016,exact,src-pleiades-217016
ext-pleiades-colony-tragurion,colony-tragurion,,pleiades,197555,https://pleiades.stoa.org/places/197555,exact,src-pleiades-197555
ext-pleiades-colony-trapezus,colony-trapezus,,pleiades,857359,https://pleiades.stoa.org/places/857359,exact,src-pleiades-857359
ext-pleiades-colony-tyras,colony-tyras,,pleiades,226800,https://pleiades.stoa.org/places/226800,exact,src-pleiades-226800
ext-pleiades-colony-zancle-messana,colony-zancle-messana,,pleiades,462538,https://pleiades.stoa.org/places/462538,exact,src-pleiades-462538
ext-pleiades-kingdom-lysimachid,,place-kingdom-lysimachid,pleiades,501458,https://pleiades.stoa.org/places/501458,representative_center,src-pleiades-501458
ext-pleiades-sanctuary-aegina-aphaia-sanctuary,sanctuary-aegina-aphaia-sanctuary,,pleiades,579872,https://pleiades.stoa.org/places/579872,exact,src-pleiades-579872
ext-pleiades-sanctuary-akragas-concordia-temple-sanctuary,sanctuary-akragas-concordia-temple-sanctuary,,pleiades,943504072,https://pleiades.stoa.org/places/943504072,exact,src-pleiades-943504072
ext-pleiades-sanctuary-alexandria-serapeum,sanctuary-alexandria-serapeum,,pleiades,182618516,https://pleiades.stoa.org/places/182618516,exact,src-pleiades-182618516
ext-pleiades-sanctuary-amyklaion-apollo-sanctuary,sanctuary-amyklaion-apollo-sanctuary,,pleiades,73644851,https://pleiades.stoa.org/places/73644851,exact,src-pleiades-73644851
ext-pleiades-sanctuary-apollonia-pontica-apollo-ietros-sanctuary,sanctuary-apollonia-pontica-apollo-ietros-sanctuary,,pleiades,216706,https://pleiades.stoa.org/places/216706,exact,src-pleiades-216706
ext-pleiades-sanctuary-argive-heraion,sanctuary-argive-heraion,,pleiades,570289,https://pleiades.stoa.org/places/570289,exact,src-pleiades-570289
ext-pleiades-sanctuary-athens-acropolis-sacred-center,sanctuary-athens-acropolis-sacred-center,,pleiades,638356144,https://pleiades.stoa.org/places/638356144,exact,src-pleiades-638356144
ext-pleiades-sanctuary-bassae-apollo-epikourios,sanctuary-bassae-apollo-epikourios,,pleiades,570148,https://pleiades.stoa.org/places/570148,exact,src-pleiades-570148
ext-pleiades-sanctuary-brauron-artemis-sanctuary,sanctuary-brauron-artemis-sanctuary,,pleiades,579879,https://pleiades.stoa.org/places/579879,exact,src-pleiades-579879
ext-pleiades-sanctuary-claros-apollo-oracle,sanctuary-claros-apollo-oracle,,pleiades,599719,https://pleiades.stoa.org/places/599719,exact,src-pleiades-599719
ext-pleiades-sanctuary-crete-idaion-antron,sanctuary-crete-idaion-antron,,pleiades,589817,https://pleiades.stoa.org/places/589817,exact,src-pleiades-589817
ext-pleiades-sanctuary-crete-iuktas-peak-sanctuary,sanctuary-crete-iuktas-peak-sanctuary,,pleiades,559217802,https://pleiades.stoa.org/places/559217802,exact,src-pleiades-559217802
ext-pleiades-sanctuary-croton-hera-lacinia-sanctuary,sanctuary-croton-hera-lacinia-sanctuary,,pleiades,452332,https://pleiades.stoa.org/places/452332,exact,src-pleiades-452332
ext-pleiades-sanctuary-cyrene-apollo-sanctuary,sanctuary-cyrene-apollo-sanctuary,,pleiades,464482220,https://pleiades.stoa.org/places/464482220,exact,src-pleiades-464482220
ext-pleiades-sanctuary-cyrene-zeus-sanctuary,sanctuary-cyrene-zeus-sanctuary,,pleiades,103565779,https://pleiades.stoa.org/places/103565779,exact,src-pleiades-103565779
ext-pleiades-sanctuary-delos-apollo-sanctuary,sanctuary-delos-apollo-sanctuary,,pleiades,599506,https://pleiades.stoa.org/places/599506,exact,src-pleiades-599506
ext-pleiades-sanctuary-delphi-apollo-sanctuary,sanctuary-delphi-apollo-sanctuary,,pleiades,540726,https://pleiades.stoa.org/places/540726,exact,src-pleiades-540726
ext-pleiades-sanctuary-delphi-athena-pronaia-sanctuary,sanctuary-delphi-athena-pronaia-sanctuary,,pleiades,513711610,https://pleiades.stoa.org/places/513711610,exact,src-pleiades-513711610
ext-pleiades-sanctuary-despotiko-apollo-sanctuary,sanctuary-despotiko-apollo-sanctuary,,pleiades,854812387,https://pleiades.stoa.org/places/854812387,exact,src-pleiades-854812387
ext-pleiades-sanctuary-didyma-apollo-oracle,sanctuary-didyma-apollo-oracle,,pleiades,599593,https://pleiades.stoa.org/places/599593,exact,src-pleiades-599593
ext-pleiades-sanctuary-dodona-zeus-oracle,sanctuary-dodona-zeus-oracle,,pleiades,530843,https://pleiades.stoa.org/places/530843,exact,src-pleiades-530843
ext-pleiades-sanctuary-eleusis-demeter-sanctuary,sanctuary-eleusis-demeter-sanctuary,,pleiades,579910,https://pleiades.stoa.org/places/579910,exact,src-pleiades-579910
ext-pleiades-sanctuary-ephesus-artemis-sanctuary,sanctuary-ephesus-artemis-sanctuary,,pleiades,873985034,https://pleiades.stoa.org/places/873985034,exact,src-pleiades-873985034
ext-pleiades-sanctuary-epidauros-asklepios-sanctuary,sanctuary-epidauros-asklepios-sanctuary,,pleiades,570127,https://pleiades.stoa.org/places/570127,exact,src-pleiades-570127
ext-pleiades-sanctuary-foce-del-sele-heraion,sanctuary-foce-del-sele-heraion,,pleiades,442610,https://pleiades.stoa.org/places/442610,exact,src-pleiades-442610
ext-pleiades-sanctuary-golgoi-aphrodite-sanctuary,sanctuary-golgoi-aphrodite-sanctuary,,pleiades,707470,https://pleiades.stoa.org/places/707470,exact,src-pleiades-707470
ext-pleiades-sanctuary-gyroulas-demeter-sanctuary,sanctuary-gyroulas-demeter-sanctuary,,pleiades,599631,https://pleiades.stoa.org/places/599631,exact,src-pleiades-599631
ext-pleiades-sanctuary-hierapolis-ploutonion,sanctuary-hierapolis-ploutonion,,pleiades,232079424,https://pleiades.stoa.org/places/232079424,exact,src-pleiades-232079424
ext-pleiades-sanctuary-histria-sacred-zone,sanctuary-histria-sacred-zone,,pleiades,216839,https://pleiades.stoa.org/places/216839,exact,src-pleiades-216839
ext-pleiades-sanctuary-hyria-dionysos-sanctuary,sanctuary-hyria-dionysos-sanctuary,,pleiades,599661,https://pleiades.stoa.org/places/599661,exact,src-pleiades-599661
ext-pleiades-sanctuary-isthmia-poseidon-sanctuary,sanctuary-isthmia-poseidon-sanctuary,,pleiades,570316,https://pleiades.stoa.org/places/570316,exact,src-pleiades-570316
ext-pleiades-sanctuary-kalapodi-artemis-apollo-sanctuary,sanctuary-kalapodi-artemis-apollo-sanctuary,,pleiades,955675680,https://pleiades.stoa.org/places/955675680,exact,src-pleiades-955675680
ext-pleiades-sanctuary-kos-asklepieion,sanctuary-kos-asklepieion,,pleiades,599528,https://pleiades.stoa.org/places/599528,exact,src-pleiades-599528
ext-pleiades-sanctuary-kourion-apollo-hylates-sanctuary,sanctuary-kourion-apollo-hylates-sanctuary,,pleiades,707476,https://pleiades.stoa.org/places/707476,exact,src-pleiades-707476
ext-pleiades-sanctuary-labraunda-zeus-sanctuary,sanctuary-labraunda-zeus-sanctuary,,pleiades,599745,https://pleiades.stoa.org/places/599745,exact,src-pleiades-599745
ext-pleiades-sanctuary-lagina-hekate-sanctuary,sanctuary-lagina-hekate-sanctuary,,pleiades,376215160,https://pleiades.stoa.org/places/376215160,exact,src-pleiades-376215160
ext-pleiades-sanctuary-lemnos-kabeirion,sanctuary-lemnos-kabeirion,,pleiades,550604,https://pleiades.stoa.org/places/550604,exact,src-pleiades-550604
ext-pleiades-sanctuary-letoon-lycian-sanctuary,sanctuary-letoon-lycian-sanctuary,,pleiades,638958,https://pleiades.stoa.org/places/638958,exact,src-pleiades-638958
ext-pleiades-sanctuary-lindos-athena-sanctuary,sanctuary-lindos-athena-sanctuary,,pleiades,414067217,https://pleiades.stoa.org/places/414067217,exact,src-pleiades-414067217
ext-pleiades-sanctuary-magnesia-artemis-leukophryene,sanctuary-magnesia-artemis-leukophryene,,pleiades,599778,https://pleiades.stoa.org/places/599778,exact,src-pleiades-599778
ext-pleiades-sanctuary-menelaion-sparta,sanctuary-menelaion-sparta,,pleiades,570477,https://pleiades.stoa.org/places/570477,exact,src-pleiades-570477
ext-pleiades-sanctuary-metapontum-tavole-palatine-heraion,sanctuary-metapontum-tavole-palatine-heraion,,pleiades,442611,https://pleiades.stoa.org/places/442611,exact,src-pleiades-442611
ext-pleiades-sanctuary-mount-lykaion-zeus-sanctuary,sanctuary-mount-lykaion-zeus-sanctuary,,pleiades,570764,https://pleiades.stoa.org/places/570764,exact,src-pleiades-570764
ext-pleiades-sanctuary-nemea-zeus-sanctuary,sanctuary-nemea-zeus-sanctuary,,pleiades,570504,https://pleiades.stoa.org/places/570504,exact,src-pleiades-570504
ext-pleiades-sanctuary-olympia-zeus-sanctuary,sanctuary-olympia-zeus-sanctuary,,pleiades,570531,https://pleiades.stoa.org/places/570531,exact,src-pleiades-570531
ext-pleiades-sanctuary-oropos-amphiareion,sanctuary-oropos-amphiareion,,pleiades,540628,https://pleiades.stoa.org/places/540628,exact,src-pleiades-540628
ext-pleiades-sanctuary-palaepaphos-aphrodite-sanctuary,sanctuary-palaepaphos-aphrodite-sanctuary,,pleiades,828989863,https://pleiades.stoa.org/places/828989863,exact,src-pleiades-828989863
ext-pleiades-sanctuary-panionion-poseidon-sanctuary,sanctuary-panionion-poseidon-sanctuary,,pleiades,599855,https://pleiades.stoa.org/places/599855,exact,src-pleiades-599855
ext-pleiades-sanctuary-pantikapaion-apollo-ietros-sanctuary,sanctuary-pantikapaion-apollo-ietros-sanctuary,,pleiades,854719,https://pleiades.stoa.org/places/854719,exact,src-pleiades-854719
ext-pleiades-sanctuary-perachora-heraion,sanctuary-perachora-heraion,,pleiades,570288,https://pleiades.stoa.org/places/570288,exact,src-pleiades-570288
