place_id,entity_id,latitude,longitude,geometry_wkt,geometry_geojson,geometry_role,location_certainty,location_precision,modern_country_el,modern_country_en,country_iso3,country_iso2,modern_locality,coordinate_source_text,spatial_note_el,spatial_note_en,source_id,review_state
place-kingdom-alexander-empire,kingdom-alexander-empire,32.5423,44.4208,POINT (44.4208 32.5423),"{""coordinates"":[44.4208,32.5423],""type"":""Point""}",representative_center,high,unknown,Ιράκ,Iraq,IRQ,IQ,,www.metmuseum.org,Το σημείο αποδίδει τη Βαβυλώνα ως τελικό διοικητικό κέντρο και τόπο θανάτου του Αλεξάνδρου· η αυλή ήταν κινητή και η αυτοκρατορική έκταση απαιτεί ξεχωριστά χρονολογημένα πολύγωνα.,The point marks Babylon as a representative centre; it does not represent the polity's territorial extent.,src-metmuseum-89019924e8c3,reviewed
place-kingdom-athens-mycenaean,kingdom-athens-mycenaean,37.9715,23.7257,POINT (23.7257 37.9715),"{""coordinates"":[23.7257,37.9715],""type"":""Point""}",representative_center,high,unknown,Ελλάδα,Greece,GRC,GR,,whc.unesco.org,Το σημείο αποδίδει τη μυκηναϊκή Ακρόπολη και όχι βέβαιη επικράτεια· οποιοδήποτε μελλοντικό πολύγωνο πρέπει να δηλώνεται ως υποθετικό.,The point marks Acropolis of Athens as a representative centre; it does not represent the polity's territorial extent.,src-whc-99e8b681505e,reviewed
place-kingdom-attalid-pergamon,kingdom-attalid-pergamon,39.1327,27.1841,POINT (27.1841 39.1327),"{""coordinates"":[27.1841,39.1327],""type"":""Point""}",representative_center,high,unknown,Τουρκία,Turkey,TUR,TR,,www.metmuseum.org,"Το σημείο αποδίδει την ακρόπολη της Περγάμου ως πρωτεύουσα, όχι την επικράτεια· τα πολύγωνα θα διαχωρίζουν την πρώιμη ηγεμονία από το ώριμο βασίλειο.",The point marks Pergamon as a representative centre; it does not represent the polity's territorial extent.,src-metmuseum-50fe20dc493f,needs_review
place-kingdom-bithynia,kingdom-bithynia,40.7654,29.9408,POINT (29.9408 40.7654),"{""coordinates"":[29.9408,40.7654],""type"":""Point""}",representative_center,high,unknown,Τουρκία,Turkey,TUR,TR,,www.attalus.org,"Το σημείο αποδίδει τη Νικομήδεια ως πρωτεύουσα από τον Νικομήδη Α΄, όχι την πλήρη έκταση του βασιλείου· τα πολύγωνα θα αποθηκευθούν χωριστά.",The point marks Nicomedia as a representative centre; it does not represent the polity's territorial extent.,src-attalus-1b40f4436114,reviewed
place-kingdom-bosporus-archaeanactid,kingdom-bosporus-archaeanactid,45.3507,36.47,POINT (36.47 45.3507),"{""coordinates"":[36.47,45.3507],""type"":""Point""}",representative_center,high,unknown,Ουκρανία,Ukraine,UKR,UA,,www.iranicaonline.org,"Το σημείο αποδίδει το Παντικάπαιον ως πρωτεύουσα, όχι το δίκτυο πόλεων και εδαφών· τα πολύγωνα θα τηρούνται χωριστά. Η αναφορά στην Κριμαία δεν δηλώνει θέση περί σύγχρονης κυριαρχίας.","The point marks Pantikapaion, Kerch as a representative centre; it does not represent the polity's territorial extent.",src-iranicaonline-0f32c4ee76cf,reviewed
place-kingdom-bosporus-mithridatic,kingdom-bosporus-mithridatic,45.3507,36.47,POINT (36.47 45.3507),"{""coordinates"":[36.47,45.3507],""type"":""Point""}",representative_center,high,unknown,Ουκρανία,Ukraine,UKR,UA,,www.iranicaonline.org,"Το σημείο αποδίδει το Παντικάπαιον ως πρωτεύουσα, όχι την ποντιακή ή βοσποριανή επικράτεια· τα πολύγωνα θα τηρούνται χωριστά. Η σύγχρονη κυριαρχία στην Κριμαία δεν υπονοείται.","The point marks Pantikapaion, Kerch as a representative centre; it does not represent the polity's territorial extent.",src-iranicaonline-0f32c4ee76cf,reviewed
place-kingdom-bosporus-spartocid,kingdom-bosporus-spartocid,45.3507,36.47,POINT (36.47 45.3507),"{""coordinates"":[36.47,45.3507],""type"":""Point""}",representative_center,high,unknown,Ουκρανία,Ukraine,UKR,UA,,www.encyclopediaofukraine.com,"Το σημείο αποδίδει την πρωτεύουσα Παντικάπαιον, όχι τα μεταβαλλόμενα εδάφη σε Κριμαία και Ταμάν· τα πολύγωνα θα είναι χωριστά. Η σύγχρονη κυριαρχία δεν υπονοείται.","The point marks Pantikapaion, Kerch as a representative centre; it does not represent the polity's territorial extent.",src-encyclopediaofukraine-237e86aa1350,reviewed
place-kingdom-cappadocia-ariarathid,kingdom-cappadocia-ariarathid,38.7225,35.4875,POINT (35.4875 38.7225),"{""coordinates"":[35.4875,38.7225],""type"":""Point""}",representative_center,high,unknown,Τουρκία,Turkey,TUR,TR,,www.iranicaonline.org,"Το σημείο αποδίδει τη Μάζακα ως βασιλικό κέντρο, όχι την επικράτεια ή όλες τις μετακινήσεις της αυλής· τα εδαφικά πολύγωνα θα τηρούνται χωριστά.",The point marks Mazaca as a representative centre; it does not represent the polity's territorial extent.,src-iranicaonline-efe1d8ddd34e,reviewed
place-kingdom-cappadocia-late-client,kingdom-cappadocia-late-client,38.7225,35.4875,POINT (35.4875 38.7225),"{""coordinates"":[35.4875,38.7225],""type"":""Point""}",representative_center,high,unknown,Τουρκία,Turkey,TUR,TR,,www.iranicaonline.org,"Το σημείο αποδίδει τη Μάζακα ως κύριο βασιλικό κέντρο, όχι την εδαφική έκταση· οι διακοπές και μεταβολές κυριαρχίας χρειάζονται ξεχωριστές χρονικές φάσεις και πολύγωνα.",The point marks Mazaca as a representative centre; it does not represent the polity's territorial extent.,src-iranicaonline-efe1d8ddd34e,needs_review
place-kingdom-commagene,kingdom-commagene,37.5451,38.5008,POINT (38.5008 37.5451),"{""coordinates"":[38.5008,37.5451],""type"":""Point""}",representative_center,high,unknown,Τουρκία,Turkey,TUR,TR,,whc.unesco.org,"Το σημείο αποδίδει τη Σαμόσατα, σήμερα σε μεγάλο βαθμό κατακλυσμένη, ως πρωτεύουσα· η επικράτεια και η διακοπή του 17–38 μ.Χ. θα αποδοθούν χωριστά.",The point marks Samosata as a representative centre; it does not represent the polity's territorial extent.,src-whc-9d3804ad2081,needs_review
place-kingdom-cyrene-battiad,kingdom-cyrene-battiad,32.825,21.8583,POINT (21.8583 32.825),"{""coordinates"":[21.8583,32.825],""type"":""Point""}",representative_center,high,unknown,Λιβύη,Libya,LBY,LY,,whc.unesco.org,"Το σημείο αποδίδει την πόλη-πρωτεύουσα Κυρήνη, όχι το σύνολο της Κυρηναϊκής· τα εδαφικά πολύγωνα θα τηρούνται σε ξεχωριστό GeoJSON.",The point marks Cyrene as a representative centre; it does not represent the polity's territorial extent.,src-whc-36affcfbdbb0,reviewed
place-kingdom-cyrene-magas,kingdom-cyrene-magas,32.825,21.8583,POINT (21.8583 32.825),"{""coordinates"":[21.8583,32.825],""type"":""Point""}",representative_center,high,unknown,Λιβύη,Libya,LBY,LY,,discovery.ucl.ac.uk,"Το σημείο αποδίδει την πόλη Κυρήνη ως βασιλικό κέντρο, όχι ολόκληρη την Κυρηναϊκή· η σχέση εξάρτησης από την Αίγυπτο και τα εδάφη χρειάζονται χωριστές φάσεις.",The point marks Cyrene as a representative centre; it does not represent the polity's territorial extent.,src-discovery-dd8bc12f19e5,reviewed
place-kingdom-epirus-aeacid,kingdom-epirus-aeacid,39.5465,20.7877,POINT (20.7877 39.5465),"{""coordinates"":[20.7877,39.5465],""type"":""Point""}",representative_center,high,unknown,Ελλάδα,Greece,GRC,GR,,www.cambridge.org,"Το σημείο αποδίδει τη Δωδώνη ως κύριο πολιτικό και θρησκευτικό κέντρο, όχι σταθερή πρωτεύουσα ή επικράτεια· τα πολύγωνα θα είναι ξεχωριστά.",The point marks Dodona as a representative centre; it does not represent the polity's territorial extent.,src-cambridge-96106a304cc6,reviewed
