source_id,url,title,publisher,source_class,language,license,accessed_on,http_status,url_status,citation,notes
src-pleiades-373750,https://pleiades.stoa.org/places/373750,Pleiades place 373750,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/373750 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-373778,https://pleiades.stoa.org/places/373778,Pleiades place 373778,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/373778 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-373786,https://pleiades.stoa.org/places/373786,Pleiades place 373786,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/373786 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-373879,https://pleiades.stoa.org/places/373879,Pleiades place 373879,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/373879 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-376215160,https://pleiades.stoa.org/places/376215160,Pleiades place 376215160,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/376215160 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-413014,https://pleiades.stoa.org/places/413014,Pleiades place 413014,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/413014 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-414067217,https://pleiades.stoa.org/places/414067217,Pleiades place 414067217,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/414067217 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-418729933,https://pleiades.stoa.org/places/418729933,Pleiades place 418729933,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/418729933 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-432808,https://pleiades.stoa.org/places/432808,Pleiades place 432808,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/432808 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-433014,https://pleiades.stoa.org/places/433014,Pleiades place 433014,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/433014 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-442610,https://pleiades.stoa.org/places/442610,Pleiades place 442610,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/442610 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-442611,https://pleiades.stoa.org/places/442611,Pleiades place 442611,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/442611 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-442658,https://pleiades.stoa.org/places/442658,Pleiades place 442658,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/442658 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-442733,https://pleiades.stoa.org/places/442733,Pleiades place 442733,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/442733 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-442810,https://pleiades.stoa.org/places/442810,Pleiades place 442810,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/442810 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-452317,https://pleiades.stoa.org/places/452317,Pleiades place 452317,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/452317 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-452332,https://pleiades.stoa.org/places/452332,Pleiades place 452332,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/452332 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-452369,https://pleiades.stoa.org/places/452369,Pleiades place 452369,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/452369 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-452416,https://pleiades.stoa.org/places/452416,Pleiades place 452416,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/452416 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-452457,https://pleiades.stoa.org/places/452457,Pleiades place 452457,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/452457 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-452488,https://pleiades.stoa.org/places/452488,Pleiades place 452488,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/452488 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-462086,https://pleiades.stoa.org/places/462086,Pleiades place 462086,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462086 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-462214,https://pleiades.stoa.org/places/462214,Pleiades place 462214,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462214 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-462244,https://pleiades.stoa.org/places/462244,Pleiades place 462244,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/462244 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
